,POP10,HH10,POP20,HU20,HHPOP20,food_insecurity,edu_hsd,edu_gebach,edu_bach,no_internet,dial-up,broadband,lt75000,ge75000,le1.5_rm,gt1.5_rm,30-50pct_rb,gt50pct_rb,HHOCH18,cr_Less than $100,cr_$100 to $149,cr_$150 to $199,cr_$200 to $249,cr_$250 to $299,cr_$300 to $349,cr_$350 to $399,cr_$400 to $449,cr_$450 to $499,cr_$500 to $549,cr_$550 to $599,cr_$600 to $649,cr_$650 to $699,cr_$700 to $749,cr_$750 to $799,cr_$800 to $899,cr_$900 to $999,"cr_$1,000 to $1,249","cr_$1,250 to $1,499","cr_$1,500 to $1,999","cr_$2,000 to $2,499","cr_$2,500 to $2,999","cr_$3,000 to $3,499","cr_$3,500 or more","hv_Less than $10,000","hv_$10,000 to $14,999","hv_$15,000 to $19,999","hv_$20,000 to $24,999","hv_$25,000 to $29,999","hv_$30,000 to $34,999","hv_$35,000 to $39,999","hv_$40,000 to $49,999","hv_$50,000 to $59,999","hv_$60,000 to $69,999","hv_$70,000 to $79,999","hv_$80,000 to $89,999","hv_$90,000 to $99,999","hv_$100,000 to $124,999","hv_$125,000 to $149,999","hv_$150,000 to $174,999","hv_$175,000 to $199,999","hv_$200,000 to $249,999","hv_$250,000 to $299,999","hv_$300,000 to $399,999","hv_$400,000 to $499,999","hv_$500,000 to $749,999","hv_$750,000 to $999,999","hv_$1,000,000 to $1,499,999","hv_$1,500,000 to $1,999,999","hv_$2,000,000 or more",tot_hhds,fam_hhd,fb_Europe,fb_Asia,fb_Africa,fb_Oceania,fb_LatinAmerica,fb_NorthernAmerica,lang_Spanish,lang_Russian,lang_Chinese,lang_Vietnamese,lang_other asian or pi language,lang_other indo-euro language,lang_pop_leahh,total 5-17,total 5-17 in public school,mobility,Pov20,w_disability,Pop25+,"hhinc_Less than $10,000","hhinc_$10,000 to $14,999","hhinc_$15,000 to $19,999","hhinc_$20,000 to $24,999","hhinc_$25,000 to $29,999","hhinc_$30,000 to $34,999","hhinc_$35,000 to $39,999","hhinc_$40,000 to $44,999","hhinc_$45,000 to $49,999","hhinc_$50,000 to $59,999","hhinc_$60,000 to $74,999","hhinc_$75,000 to $99,999","hhinc_$100,000 to $124,999","hhinc_$125,000 to $149,999","hhinc_$150,000 to $199,999","hhinc_$200,000 or more",owner occ hu,tot occ hu acs,LifeExp,SVI
Neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,5214,2058,5455,2108,5448,298.8157322,54.70609547,3078.866859,1401.95604,30.66191663,0,1931.507169,476.9581704,1492.210915,1969.169086,0,11.14701186,18.74309219,1208.780927,0,0,0,0,0,0,0,0,0,1.232073012,1.09517601,0,0,0,0,0,0,6.867105835,20.05183585,40.48135687,21.48141976,12.59649123,0,0,20.96563222,0,0,0,0,8,0,0,0,0,28.52051836,0,0,0,0,0,0,0.684485007,5.438496859,34.11408871,82.94488936,862.488259,699.8951721,87.31208531,11,0,1969.169086,1569.261719,111.7583846,150.6348091,0,10.14493107,75.89390791,65.13626495,19.1912508,0,3.199058219,0,29.84633327,18.45265376,70.68929604,1055.79319,676.7111973,263.7564071,72.17806085,332.4840554,3830.066836,23.93110884,19.01915262,28.67244924,14.27315937,37.47879737,39.08761967,29.5119278,13.25025536,53.43996723,106.8666724,111.4270605,85.11700292,135.7644298,187.3599232,302.7324194,781.2371398,1841.363627,1969.169086,82.64593838,0.02839888
Arbor Lodge,6153,2774,6946,3285,6914,596.2952618,187.9061944,3286.568718,2108.866482,162.8675636,0,2735.602186,982.4099849,1968.792683,2933.91115,17.29151786,175.7062232,110.6441624,1074.140585,6.69375,0,0,1.275,0,0,0,0,16.04065041,1.753125,0,4.603686636,0,1.434375,25.57603687,45.85714286,43.28136082,159.2485671,106.1254612,196.1225472,209.4337128,30.44543491,0,0,0,0,0,0,0,8.607888631,10,10,0,0,0,0,0,0,0,0,0,35.16841165,70.43784245,370.7318519,915.7808314,588.6665255,34.50358964,11,0,17,2951.202668,1691.179247,90.88576837,269.8014517,129.3994669,18.90459223,121.1921034,33.60389414,60.48549759,3.341391106,0,23.09748904,20.75949943,12.62303307,176.2353577,832.3989379,586.4258237,296.3585237,550.3536681,554.106084,5603.977618,110.4885173,38.53902439,47.02436167,72.46505121,63.72746712,36.41044523,16.89524092,75.80157814,105.8880012,137.9836236,277.186674,515.4427974,340.4188864,278.3064509,446.6173946,388.0071536,2071.896941,2951.202668,80.62276306,0.066932551
Ardenwald,4724,2106,4850,2110,4815,600.4437862,270.1709859,1576.410716,860.3314218,150.9984689,9,1947.055093,1135.038864,1009.220681,2134.192878,10.06666667,233.5435894,165.5590372,901.3843675,7,11.65014577,12.27593819,70.06666667,1,36,0,35.24198251,32,0.129415808,0,0,0.093333333,9.133333333,20.10666667,52.74232357,103.2787438,300.795915,65.09798983,58.68281741,13.30051411,0,0,0.092783505,10.11340206,0,0,15,0,0.036082474,0.139175258,0,0,0,12.62099125,10,0,0.173333333,0,9.666666667,11.03092784,38.84499829,195.4198487,446.9272175,288.1118941,124.154115,70.23817533,52.8660391,0,17.47017137,2144.259545,1320.647638,50.60127736,38.65700856,0,3.244551102,92.72627165,48.15650518,50.46134577,1.98936833,0.063273073,0.822549952,12.36317013,2.646331626,71.19320895,840.1549721,664.003605,652.1698208,667.4561392,682.747563,3773.86855,91.0374122,163.9351199,77.58376516,62.51220182,41.18041237,77.41926901,166.4773951,12.31116929,33.88982924,118.0867693,290.605521,243.026361,228.5243162,162.3227084,189.8268611,185.520434,1302.813038,2144.259545,80.47548574,0.344995949
Argay,6006,2498,6313,2522,6029,593.4166713,257.9601515,1653.783415,1065.714353,297.273657,0,1932.832103,1282.328272,999.3870678,2276.776343,4.938996837,307.2463596,237.449671,822.8708964,0,0,34.69498418,0,0,0,0,7,18.76818798,0,1.38349242,47,20.38349242,56.60957976,47.58315634,28.76818798,118.5538494,368.7798096,25.68278355,39.84139178,0,20,0,0,5.926796204,0,0,0,8.890194306,0,0,0,7,6.494104436,11,0,8.890194306,0.494104436,0.988208871,7.902394939,0,51.71938545,174.0182798,609.6697342,426.1646874,56,2.569343066,0,0,0,2281.71534,1481.544717,50.04181702,287.0300623,61.6149607,48.45916124,317.1464011,34.27819433,239.639494,12.79711926,0,106.3471457,34.35701434,22.32104404,463.6643064,598.0526364,523.7780517,201.7286537,570.7148129,721.1013746,4230.329791,63.67099242,178.1991824,118.3289652,87.00607913,99.78363927,82.79258925,97.29236331,36.31028862,112.3167646,192.1093538,214.5180538,373.5062754,195.6160684,79,134.7925892,216.4721348,1377.727427,2281.71534,79.59251929,0.682979792
Arlington Heights,865,405,1067,493,1067,32.24603914,24.66943867,749.4027709,255.3578582,5.079002079,0,529.3028043,186.277396,363.3414166,542.3630953,7.255717256,19.88403612,26.42592563,218.4895177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.255717256,15.23700624,90.6964657,11.60914761,16.68814969,8.627207948,0,0.187903699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105695831,0,0,4.553078034,37.29775753,44.23894241,79.82974401,100.5424926,49.25922458,82.7856406,0.399295361,549.6188126,325.8792433,31.65813047,60.65782098,2.110279297,0,16.362185,12.57598614,4.220558595,0,10.85286496,0,0.053944707,4.663631921,19.79100018,129.2409581,85.56060635,60.49712579,62.50486423,62.43011429,939.1487201,10.88357588,24.66943867,5.079002079,7.981288981,0.305343511,5.851549729,34.1018711,33.51722715,15.96257796,24.76339052,23.16213042,22.15470315,70.97940042,14.828522,41.57409024,213.8047008,399.0118709,549.6188126,81.4,0.036362389
Arnold Creek,3178,1236,3452,1319,3440,110.420923,19.97484324,1854.049824,847.9491995,18.20143561,0,1194.97475,305.3431437,935.7699982,1240.739601,0.373540856,60.24490524,28.13549207,819.4406228,0,0,0,0,0,7.925091352,0,0,0,0,0,0,0,0,7.31546894,0.147058824,0,9.897604299,44.00187197,47.51767968,10.3636338,0,0,0,6.660560345,0,0,0,0,0,0,0,0.513618677,0,0,0,0,30.14903529,24.0554297,7.123461471,16.58940885,27.32391219,1.996380751,66.86450264,173.5871523,479.7592955,189.5975273,28.78999132,52.11958729,0,1241.113142,898.8892492,74.56131083,181.5621585,0.163450624,0.163450624,52.09305558,6.624787797,0.163450624,0,8.268308729,0.163450624,1.1758476,8.57477865,18.34583623,666.0276466,388.4620339,181.4060711,182.2703871,230.7269295,2275.296274,25.97506363,13.22230411,8.849366072,25.34377844,12.91236476,20.97115561,57.57523345,50.59866017,8.565176326,33.39103178,47.93900938,101.3915322,110.146013,119.2695861,167.9971901,436.9656768,1105.129864,1241.113142,85.46970414,0.024593018
Ashcreek,4263,1951,4626,2045,4626,310.7746338,24.33691803,2401.713,1444.587639,65.55120498,0,1795.20304,472.9343764,1430.712623,1898.413232,5.233767484,59.7930119,53.99912311,983.1926028,0,0,0,0,0,0,0,0,0,0.037084399,0,0,4.24602333,0,17.87615982,11.8989944,35.86081963,81.15589463,62.16198668,64.51220111,28.87167413,12.38117647,7.802864364,0,0,0,0,0,1.796394486,0,0,0,0,0,0,0,0,2.607198748,0,0,0,13.02554201,122.4790622,203.8377214,466.3995493,606.8557546,87.60682859,18.68701095,24.76235294,1.469777306,1903.647,1393.122272,137.5809404,201.4646126,4.05838425,0.316386646,32.43944237,27.60862573,2.390258416,8.812689969,47.56678507,2.183067859,40.07290043,12.09421859,117.5165692,567.9552444,368.7475074,241.3280368,52.00390751,483.7293139,3472.769162,21.92127099,4.879432498,18.59783122,35.6664961,39.71297935,57.47413821,19.76024995,8.883515364,24.09962042,142.3913991,99.54744325,246.5568917,200.2768955,208.0306583,210.0572032,565.7909747,1549.527193,1903.647,85.50277932,0.027083658
Beaumont-Wilshire,5346,2319,6059,2526,6058,215.0492539,185.0944272,3136.956445,1742.520006,65.75606295,0,2565.463635,903.208017,1731.696666,2634.904683,0,33.28030303,28.46578141,1238.852562,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1.228328173,30,28,54.46578141,71.05660538,18,14,0,13,0,0,0,0,0,15,7.291666667,0,0,139,0,0,13,0,0,0,4.913312693,41,70.3137724,392.0555663,1090.45036,512.2938691,102.8354208,0,0,2634.904683,2037.885175,178.1271417,161.7736393,0,2.748971193,51.2114874,15.8644581,17.59031833,0,0,45.58951965,18.89917695,36.08024691,118.1592618,961.9931149,749.9508484,181.603271,139.2324225,474.243219,4968.502841,16.00919305,35.38609391,31.42432451,33.77941176,144.9659091,0,38.02135954,29.46578141,122.32746,100.1545734,351.6739102,251.5830971,319.6932664,310.467781,353.5256599,496.4268617,2401.153968,2634.904683,80.43396977,0.051697242
Boise,3311,1537,4660,2619,4601,559.767949,122.4739527,3073.473013,2033.41965,69.93764407,11.87784276,2395.385025,1088.669405,1474.561526,2501.027535,62.20339528,398.3868224,294.2709195,363.7041527,20.78622482,4.751137102,11.75488517,5.291082239,5.148825065,16.62897986,36.93892138,0,5.34502924,7.62497887,0,8,5.938921378,18.41065627,2.896214099,63.47644226,32.57138585,202.6786821,463.3560418,684.3878967,229.1429345,40.87682214,10,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.126705653,198.8962141,59.93551098,110.0884336,227.9253943,2.252610966,0,0,0,2563.23093,692.0713723,95.05376537,158.3868893,137.9633652,28.7937698,46.75721971,22.47406393,32.5793171,8.981228192,4.102010569,0,13.13355049,21.58355484,85.77856608,316.3532558,283.8859433,784.3603642,675.5938384,705.7359683,4167.921665,88.3191752,71.55874408,34.75396141,68.37611597,53.93260036,106.4846214,68.42365563,58.35100409,169.9459253,162.0988567,206.4247444,304.7992132,346.7094983,185.3515707,148.5588973,489.1423464,635.2248696,2563.23093,79.77441365,0.247071973
